"","type","strike","expiration","mark","bid","ask","vol","update","days_to_expiry","timestamp","spy_close","premium","adj","days_to_expiry_adj","iv","forward","name","delta","gamma","theta","vega"
"136980","P",635,2026-03-25,0.0294,0.0294,0.0294,2010,1774447200515,0.249967852568737,2026-03-25 10:00:02,656.51,0.0294,0,0.249967852568737,0.544167425110936,656.572500246767,"P635.Mar25",-0.00929682894367012,0.00267453385948937,-0.467519393296038,0.00429672257360799
"136981","C",636,2026-03-25,20.5762,20.5762,20.5762,3,1774447199495,0.249967852568737,2026-03-25 10:00:02,656.51,0.0662000000000091,0,0.249967852568737,0.418036478161812,656.572500246767,"C636.Mar25",0.998227640865253,0.000790887504347736,-0.0990104883876708,0.00097608034310715
"136982","P",636,2026-03-25,0.03,0.03,0.03,862,1774447200515,0.249967852568737,2026-03-25 10:00:02,656.51,0.03,0,0.249967852568737,0.522989531904459,656.572500246767,"P636.Mar25",-0.00981499250742002,0.00291796214869647,-0.47113426252023,0.00450535817209488
"136983","C",637,2026-03-25,19.5812,19.5812,19.5812,NA,1774447196956,0.249967852568737,2026-03-25 10:00:02,656.51,0.0712000000000081,0,0.249967852568737,0.433806513249874,656.572500246767,"C637.Mar25",0.996230818943122,0.0015069774294066,-0.184855585921282,0.00193000968621402
"136984","P",637,2026-03-25,0.03,0.03,0.03,537,1774447016642,0.249967852568737,2026-03-25 10:00:02,656.51,0.03,0,0.249967852568737,0.500353985279798,656.572500246767,"P637.Mar25",-0.010216149596615,0.00315849270840025,-0.466772658412512,0.00466566888577734
"136985","C",638,2026-03-25,18.5861,18.5861,18.5861,61,1774447195953,0.249967852568737,2026-03-25 10:00:02,656.51,0.0761000000000074,0,0.249967852568737,0.434118663072586,656.572500246767,"C638.Mar25",0.994330713412816,0.00216765924566738,-0.258617604074986,0.00277815288573714
"136986","P",638,2026-03-25,0.04,0.04,0.04,1960,1774447200041,0.249967852568737,2026-03-25 10:00:02,656.51,0.04,0,0.249967852568737,0.496299532353878,656.572500246767,"P638.Mar25",-0.0133330861563297,0.00401232720251599,-0.583374262882094,0.00587891093535526
"136987","C",639,2026-03-25,17.5927,17.5927,17.5927,NA,1774447196443,0.249967852568737,2026-03-25 10:00:02,656.51,0.0827000000000098,0,0.249967852568737,0.432677070721984,656.572500246767,"C639.Mar25",0.991850882329969,0.00299667279337359,-0.348650562693635,0.00382789378215569
"136988","P",639,2026-03-25,0.04,0.04,0.04,3880,1774447199507,0.249967852568737,2026-03-25 10:00:02,656.51,0.04,0,0.249967852568737,0.47280003413558,656.572500246767,"P639.Mar25",-0.013927612167834,0.004373325780239,-0.577058725595115,0.00610444242597252
"136989","C",640,2026-03-25,16.6021,16.6021,16.6021,8,1774447199495,0.249967852568737,2026-03-25 10:00:02,656.51,0.0921000000000092,0,0.249967852568737,0.43117316737771,656.572500246767,"C640.Mar25",0.988454424087248,0.0040770424990398,-0.464926797094253,0.00518983603589906
"136990","P",640,2026-03-25,0.05,0.05,0.05,2850,1774447142557,0.249967852568737,2026-03-25 10:00:02,656.51,0.05,0,0.249967852568737,0.463781410083175,656.572500246767,"P640.Mar25",-0.0173000114952436,0.00537029492159808,-0.681817713297405,0.00735306061032706
"136991","C",641,2026-03-25,15.6138,15.6138,15.6138,NA,1774447200510,0.249967852568737,2026-03-25 10:00:02,656.51,0.103800000000009,0,0.249967852568737,0.427417294159532,656.572500246767,"C641.Mar25",0.984309411423724,0.00535989357301921,-0.595511136237579,0.00676339776290617
"136992","P",641,2026-03-25,0.06,0.06,0.06,1370,1774447195953,0.249967852568737,2026-03-25 10:00:02,656.51,0.06,0,0.249967852568737,0.451750183328986,656.572500246767,"P641.Mar25",-0.020830054644277,0.00645651588848292,-0.777727247446736,0.0086109929591956
"136993","C",642,2026-03-25,14.6298,14.6298,14.6298,NA,1774447196443,0.249967852568737,2026-03-25 10:00:02,656.51,0.119800000000009,0,0.249967852568737,0.423739718645811,656.572500246767,"C642.Mar25",0.9788325178064,0.00697755575739383,-0.757057443306932,0.00872889284262811
"136994","P",642,2026-03-25,0.08,0.08,0.08,998,1774447195953,0.249967852568737,2026-03-25 10:00:02,656.51,0.08,0,0.249967852568737,0.447040870115161,656.572500246767,"P642.Mar25",-0.0271156019631044,0.00814386542886948,-0.960607809906482,0.010748169110733
